id,title,filtered_words_str,label
R129,New Report on Election,"little,animal,participant,rate,operation,fact,scene.,drive,add,across,hit,light,technology,significant.,work,radio,dinner,ago,person,religious.,experts,discuss,ongoing,developments,election.",REAL
R227,New Report on Climate Change,"anything,positive,try,half,always,ever.,adult,age,month,entire,teach.,experts,discuss,ongoing,developments,climate,change.",REAL
F231,Aliens Confirmed by Sources,"cover,support,beautiful,meet,fish,produce,cover.,place,single,board,various.,—,shocking,claims,aliens,surface,internet.",FAKE
R066,New Report on Policy,"share,represent,exist,establish,imagine,often,live.,still,pay,company,argue,sound.,skin,site,information,pick,you.,experts,discuss,ongoing,developments,policy.",REAL
F095,Mind Control Confirmed by Sources,"never,know,many,star,rate.,film,local,explain,medical,among.,everybody,card,across,wear,identify,article,bring.,couple,town,old,tv.,—,shocking,claims,mind,control,surface,internet.",FAKE
R174,New Report on Policy,"success,treat,heavy,find,toward.,fund,pull,keep,ahead,thank,stop.,experts,discuss,ongoing,developments,policy.",REAL
R201,New Report on Public Health,"return,join,box,else.,industry,institution,expert,institution,great,participant,huge.,data,suffer,realize,happy.,experts,discuss,ongoing,developments,public,health.",REAL
R072,New Report on Education,"option,show,argue,system,sport,bad.,close,almost,series.,among,today,office,president,leg,impact.,experts,discuss,ongoing,developments,education.",REAL
R064,New Report on Research,"break,try,drop.,join,believe,through.,explain,lead,rich,drug,happen.,experts,discuss,ongoing,developments,research.",REAL
F037,Miracle Drug Confirmed by Sources,"protect,quickly,scientist,identify,certain,game,beautiful.,image,last,yeah,good.,security,pattern,matter.,history,fact,north,huge.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
R170,New Report on Technology Breakthrough,"discover,since,democratic,you.,trial,watch,board,news.,experts,discuss,ongoing,developments,technology,breakthrough.",REAL
F110,Celebrity Scandal Confirmed by Sources,"lead,program,carry,like,consumer,paper.,plan,morning,respond,clear,best.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
F048,Secret Cure Confirmed by Sources,"large,another,quickly,condition,toward,ready.,question,newspaper,future,plan.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F082,Hoax Confirmed by Sources,"nation,card,theory,probably.,lay,employee,remember,less,character,their.,—,shocking,claims,hoax,surface,internet.",FAKE
F187,Miracle Drug Confirmed by Sources,"stage,fine,full,interesting,tonight.,campaign,impact,character,particularly,capital,find.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F027,Miracle Drug Confirmed by Sources,"keep,never,day,military,face,network.,structure,decision,sign.,unit,put,visit,suddenly,occur,team.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F202,Hoax Confirmed by Sources,"drug,head,increase.,strategy,happen,interest,forget,reach.,audience,wait,glass,material,food.,—,shocking,claims,hoax,surface,internet.",FAKE
F197,Secret Cure Confirmed by Sources,"pass,control,especially.,owner,life,trouble,memory,red,bar,purpose,least.,realize,strong,century,sport,free,leave,media.,—,shocking,claims,secret,cure,surface,internet.",FAKE
R128,New Report on Climate Change,"growth,strong,eat,manage.,experts,discuss,ongoing,developments,climate,change.",REAL
F157,Government Cover-Up Confirmed by Sources,"identify,discussion,future,road,begin.,feeling,physical,hair,allow.,hit,answer,rock,great.,material,teach,address,rock,whether,realize,similar.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F117,Hoax Confirmed by Sources,"program,sit,picture,wind,add,whose,opportunity.,mrs,performance,anyone,including,past,mrs,outside.,decision,stay,environmental,would.,—,shocking,claims,hoax,surface,internet.",FAKE
F173,Secret Cure Confirmed by Sources,"argue,child,several,fine,standard,start.,life,middle,information,soon,back,must.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F024,Aliens Confirmed by Sources,"half,land,beautiful,hospital,expect,reach.,—,shocking,claims,aliens,surface,internet.",FAKE
F096,Celebrity Scandal Confirmed by Sources,"mention,despite,continue.,nature,involve,image,tax.,response,training,reality.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
R247,New Report on Public Health,"effort,day,one,there.,feel,ball,tend,white,wide,picture,able.,experts,discuss,ongoing,developments,public,health.",REAL
F226,Government Cover-Up Confirmed by Sources,"enter,protect,executive,meeting,us,media,hotel.,yet,remain,young.,prove,history,agreement,wife,check.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F100,Flat Earth Confirmed by Sources,"magazine,bit,end,check,third,dark.,none,top,notice,great.,—,shocking,claims,flat,earth,surface,internet.",FAKE
